"","SAMPLE_NUMBER","NAME","ENTRY.y","C: 10_0","C: 10_1 w1 cis","C: 11_0","C: 12_0","C: 12_1 w3 cis","C: 12_1 w6 cis","C: 12_1 w9 cis","C: 14_0","C: 14_0 iso","C: 14_1 w5 cis","C: 15_0","C: 15_0 ante-iso","C: 15_1 w5 cis","C: 16_0","C: 16_0 iso","C: 16_1 trans","C: 16_1 trans+ (Raw)","C: 16_1 trans++ (Raw)","C: 16_1 trans+++ (Raw)","C: 16_1 trans++++ (Raw)","C: 16_1 w7 cis","C: 17_0","C: 17_0 ante-iso","C: 17_0 iso","C: 17_1 w7 cis","C: 18_0","C: 18_0 iso","C: 18_1 cis","C: 18_1 cis++ (Raw)","C: 18_1 cis+++ (Raw)","C: 18_1 trans","C: 18_1 trans++ (Raw)","C: 18_1 trans+++ (Raw)","C: 18_1 w9 cis+ (Raw)","C: 18_1 w9 trans+ (Raw)","C: 18_2 cis9 trans12","C: 18_2 conj","C: 18_2 trans9 cis12","C: 18_2 w6 cis","C: 18_2 w6 trans","C: 18_3 trans","C: 18_3 trans+ (Raw)","C: 18_3 trans++ (Raw)","C: 18_3 trans+++ (Raw)","C: 18_3 w3 cis","C: 18_3 w6 cis","C: 18_4 w3","C: 20_0","C: 20_1 w9 cis","C: 20_2 w6 cis","C: 20_3 w3 cis","C: 20_3 w6 cis","C: 20_4 w3","C: 20_4 w6 cis","C: 20_5 w3 cis","C: 21_5 w3","C: 22_0","C: 22_1 w9 cis","C: 22_2 w6 cis","C: 22_5 w3","C: 22_5 w6","C: 22_6 w3 cis","C: 24_0","C: 24_1 w9 cis","C: 4_0","C: 6_0","C: 8_0"
"214",10323462,"FAME02-17-0285","SHIM2010P_B","1.329","0","0","10.966","0","0","0","4.825","0","","","0","0","8.519","0","","0","0","","0","0.158","0.078","0","0","0.046","3.727","0","46.735","0.712","","0.063","0","0.063","46.015","","0","0","0","18.314","0","0","0","0","0","1.567","0.098","0","0.26","0.199","0","0","","0","","","0","0.544","0","0.038","","0","","0.268","","0","0.113","1.419"
"215",10329022,"FAME02-17-0286","SHIM2010P_F","1.274","0.021","0","10.694","0","0","0","4.807","0","0.027","0.06","0","0","8.605","0","0.023","0","0","0.023","0","0.153","0.075","0.014","0.013","0.046","3.749","0","46.679","0.709","","0.108","0","0.074","45.965","0.034","0","0.026","0","18.368","0","0","0","0","0","1.557","0","0","0.251","0.204","0.018","0","0.029","0","0.322","0.088","0","0.546","0","0.033","0.031","0","0.37","0.281","0.025","","0.114","1.375"
"216",10329060,"FAME02-17-0287","SHIM2010P_B","1.218","0","0","10.68","0","0","0","4.836","0","0.027","0.062","0","0","8.624","0","","0","0","0.027","","0.156","0.076","0.017","0.016","0.046","3.787","0","47.02","0.708","","0.095","0","0.067","46.305","0.028","0","0.03","0","18.254","0","0","0","0","0","1.527","0","0","0.262","0.21","0","0","0.033","0","0.312","0.079","0","0.555","0","0.036","","0","0.36","0.291","","","0.099","1.249"
"217",10330332,"FAME02-17-0288","SHIM2010P_F","1.259","0.02","0","10.719","0","0","0","4.841","0","0.025","0.06","0","0","8.552","0","0.026","0","0","0.026","0","0.168","0.079","0","0.02","0.047","3.722","0","46.818","0.704","0","0.089","0","0.063","46.114","0.026","0","0.029","0","18.227","0","0","0","0","0","1.536","0.102","0","0.249","0.203","0.024","0","0.031","0","0.317","0.081","0","0.546","0","0.034","","0","0.388","0.279","0.02","0","0.109","1.345"
"218",10330389,"FAME02-17-0289","SHIM2010P_B","1.305","0","0","10.975","0","0","0","4.82","0","0.026","0.064","0","0","8.479","0","","0","0","","0","0.155","0.077","0","0","0.045","3.694","0","46.788","0.695","0","0.104","0","0.074","46.093","0.03","0","0","0","18.147","0","0","0","0","0","1.542","0.1","0","0.255","0.203","0","0","0.029","0","0.332","0.083","0","0.538","0","0.037","","0","0.377","0.28","0.026","0","0.113","1.406"
"219",10335902,"FAME02-17-0290","SHIM2010P_F","1.272","0","0","10.762","0","0","0","4.826","0","0.031","0.063","0","0","8.433","0","","","0","0.026","0","0.153","0.081","0.021","0.006","0.045","3.689","0","47.117","0.697","0","","0","0.028","46.42","","0","0.029","0","18.183","0","0","0","0","0","1.531","0.092","0","0.26","0.215","0","0","0.027","0","0.314","0.082","0","0.544","0","0.033","0.022","0","0.372","0.276","0.023","","0.102","1.32"
"220",10335914,"FAME02-17-0291","SHIM2010P_B","1.448","0","0","11.518","0","0","0","4.878","0","0.025","0.063","0","0","8.448","0","","0","0","","0","0.15","0.08","0","0","0.044","3.627","0","45.878","0.683","0","0.067","0","0.067","45.195","","0","0.029","0","18.143","0","0","0","0","0","1.555","0.098","0","0.248","0.203","0","0","","0","0.311","0.078","0","0.522","0","0.037","0.02","0","0.356","0.262","0.027","0","",""
"221",10341703,"FAME02-17-0292","SHIM2010P_F","1.306","0","0","11.03","0","0","0","4.91","0","0.026","0.064","0","0","8.66","0","0.025","0","0","0.025","0","0.158","0.076","0.02","0","0.047","3.738","0","46.273","0.695","0","0.119","0.033","0.039","45.578","","0","0.03","0","18.289","0","0","0","0","0","1.546","0","0","0.25","0.205","0.017","0","0.031","0","0.318","0.081","0","0.536","0","0.036","0.021","0","0.372","0.275","0.025","0","0.112","1.402"
"222",10341810,"FAME02-17-0293","SHIM2010P_B","1.34","0","0","11.182","0","0","0","4.888","0","0.026","0.059","0","0","8.563","0","","0","0","","0","0.167","","0","0","0.049","3.719","0","46.384","0.694","0","0.106","0.022","0.053","45.69","0.031","0","0","0","18.237","0","0","0","0","0","1.538","0","0","0.248","0.203","0","0","","0","0.314","0.079","0","0.53","0","0.038","","0","0.352","0.272","","0","0.112","1.439"
"223",10347374,"FAME02-17-0296","SHIM2010P_F","1.313","0","0","11","0","0","0","4.876","0","0.028","0.061","0","0","8.591","0","0.025","0","0","0.025","0","0.161","0.078","0","0.02","0.046","3.709","0","46.412","0.698","0","0.111","0","0.072","45.714","0.039","0","0.029","0","18.211","0","0","0","0","0","1.553","0.089","0","0.25","0.202","0","0","0.032","0","0.325","0.089","0","0.533","0","0.033","0.025","0","0.374","0.267","0.02","0","0.125","1.412"
