"","SAMPLE_NUMBER","NAME","ENTRY.y","C: 10_0","C: 10_1 w1 cis","C: 11_0","C: 12_0","C: 12_1 w3 cis","C: 12_1 w6 cis","C: 12_1 w9 cis","C: 14_0","C: 14_0 iso","C: 14_1 w5 cis","C: 15_0","C: 15_0 ante-iso","C: 15_1 w5 cis","C: 16_0","C: 16_0 iso","C: 16_1 trans","C: 16_1 trans+ (Raw)","C: 16_1 trans++ (Raw)","C: 16_1 trans+++ (Raw)","C: 16_1 trans++++ (Raw)","C: 16_1 w7 cis","C: 17_0","C: 17_0 ante-iso","C: 17_0 iso","C: 17_1 w7 cis","C: 18_0","C: 18_0 iso","C: 18_1 cis","C: 18_1 cis++ (Raw)","C: 18_1 cis+++ (Raw)","C: 18_1 trans","C: 18_1 trans++ (Raw)","C: 18_1 trans+++ (Raw)","C: 18_1 w9 cis+ (Raw)","C: 18_1 w9 trans+ (Raw)","C: 18_2 cis9 trans12","C: 18_2 conj","C: 18_2 trans9 cis12","C: 18_2 w6 cis","C: 18_2 w6 trans","C: 18_3 trans","C: 18_3 trans+ (Raw)","C: 18_3 trans++ (Raw)","C: 18_3 trans+++ (Raw)","C: 18_3 w3 cis","C: 18_3 w6 cis","C: 18_4 w3","C: 20_0","C: 20_1 w9 cis","C: 20_2 w6 cis","C: 20_3 w3 cis","C: 20_3 w6 cis","C: 20_4 w3","C: 20_4 w6 cis","C: 20_5 w3 cis","C: 21_5 w3","C: 22_0","C: 22_1 w9 cis","C: 22_2 w6 cis","C: 22_5 w3","C: 22_5 w6","C: 22_6 w3 cis","C: 24_0","C: 24_1 w9 cis","C: 4_0","C: 6_0","C: 8_0"
"11",9653729,"FAME02-17-0091","SHIM_4703_B","1.351","0","0","11.318","0","0","0","5.011","0","0.027","0.064","0","0","8.654","0","0.024","0","0","0.024","0","0.162","0.078","0.02","0.015","0.045","3.67","0","45.995","0.696","0","0.085","0","0.052","45.299","0.033","0","0.027","0","18.168","0","0","0","0","0","1.559","0","0","0.25","0.202","0.016","0","0.031","0","0.323","0.082","0","0.544","0","0.034","0.021","0","0.372","0.274","0.021","0","0.115","1.444"
"12",9660580,"FAME02-17-0092","SHIM_4703_B","1.312","0","0","11.039","0","0","0","4.946","0","0.025","0.063","0","0","8.663","0","0.022","0","0","0.022","0","0.16","0.076","0","0","0.045","3.721","0","46.34","0.706","0","0.081","0","0.049","45.634","0.032","0","0.028","0","18.209","0","0","0","0","0","1.549","0","0","0.258","0.21","0","0","0.033","0","0.322","0.081","0","0.55","0","0.034","0.023","0","0.374","0.285","0.021","0","0.114","1.412"
"13",9660657,"FAME02-17-0093","SHIM_4703_B","1.255","0","0","10.747","0","0","0","4.904","0","0.028","0.063","0","0","8.809","0","","","0","0.023","0","0.16","0.079","0.018","0.014","0.045","3.752","0","46.457","0.699","0","0.1","0.03","0.032","45.758","0.038","0","0.028","0","18.261","0","0","0","0","0","1.549","0","0","0.261","0.213","0.016","0","0.029","0","0.326","0.081","0","0.57","0","0.033","0.021","0","0.381","0.293","0.023","0","0.11","1.337"
"14",9667933,"FAME02-17-0094","SHIM_4703_B","1.263","0","0","10.72","0","0","0","4.845","0","0.024","0.061","0","0","8.645","0","0.023","0","0","0.023","0","0.159","0.078","0.017","0.015","0.045","3.708","0","46.753","0.697","0","0.081","0.028","0.053","46.056","","0","0.026","0","18.277","0","0","0","0","0","1.542","0","0","0.26","0.207","0","0","0.032","0","0.314","0.083","0","0.568","","0.037","0.023","0","0.388","0.296","0.024","0","0.111","1.365"
"15",9678777,"FAME02-17-0095","SHIM2010P_B","1.284","0","0","","0","0","0","","0","0.027","0.063","0","0","","0","","","0","","","0.159","0.079","","","0.046","","0","","0.703","0","0.084","0","0.051","","0.033","","","","","","0","0","0","0","1.546","0","0","0.254","0.2","","0","0.035","0","","0.081","0","0.548","0","0.036","0.026","0","0.368","0.281","0.023","0","0.111",""
"16",9678777,"FAME02-17-0095","SHIM2010P_B","","","","10.872","","","","4.902","","","","","","8.791","","","","","0.023","0","","","0.015","0.013","","3.723","","46.307","","","","","","45.604","","0","0.028","0","18.336","0","","","","","","","","","","0.028","","","","0.309","","","","","","","","","","","","","1.389"
"17",9681574,"FAME02-17-0096","SHIM_4703_B","1.244","0","0","10.566","0","0","0","4.777","0","0.024","0.059","","0","8.549","0","","","","0.022","0","0.154","0.076","0.018","0.017","0.044","3.72","0","46.996","0.706","0","0.086","0","0.054","46.29","0.032","0","0.029","0","18.403","0","0","0","0","0","1.556","0.084","0","0.25","0.2","0","0","0.029","0","","0.078","0","0.552","0","0.034","0.022","0","0.352","0.282","0.02","0","0.107","1.34"
"18",9686004,"FAME02-17-0097","SHIM_4703_B","1.286","0","0","10.8","0","0","0","4.879","0","0.026","0.062","0","0","8.652","0","0.022","0","0","0.022","0","0.159","0.079","0.016","0.017","0.045","3.729","0","46.515","0.71","0","0.075","0","0.045","45.805","0.03","0","0.027","0","18.315","0","0","0","0","0","1.562","0","0","0.26","0.206","0.032","0","0.032","0","0.318","0.083","0","0.565","0","0.035","0.026","0","0.378","0.294","0.024","0","0.107","1.371"
"19",9686007,"FAME02-17-0098","SHIM_4703_B","1.275","0","0","10.757","0","0","0","4.876","0","0.024","0.063","0","0","8.654","0","","","","0.027","","0.165","0.078","0.016","0.016","0.044","3.737","0","46.438","0.717","0","0.094","","0","45.721","0.032","0","0.029","","18.277","","0","0","0","0","1.56","0.093","0","0.261","0.21","0","0","0.031","0","0.321","0.086","0","0.563","","0.035","0.026","0","0.381","0.291","0.02","0","0.108","1.353"
"20",9690544,"FAME02-17-0099","SHIM_4703_B","1.28","0","0","10.831","0","0","0","4.867","0","0.025","0.06","","0","8.577","0","","","","0.024","0","0.158","0.08","0.016","0.015","0.046","3.683","0","46.668","0.697","","0.073","0","0.043","45.966","0.03","","0.024","","18.101","","0","0","0","0","1.527","0.096","0","0.258","0.207","0.031","0","0.029","0","0.322","0.088","0","0.563","","0.034","0.022","0","0.384","0.29","0.023","0","0.11","1.376"
"21",9690547,"FAME02-17-0100","SHIM_4703_B","1.346","0","0","11.14","0","0","0","4.91","0","0.026","0.061","0","0","8.527","0","0.023","0","0","0.023","0","0.159","0.077","0","0","0.046","3.674","0","46.385","0.696","0","","0","0","45.689","0.031","","0.024","","18.134","","0","0","0","0","1.55","0","0","0.255","0.208","0.03","0","0.031","0","0.327","0.086","0","0.558","0","0.034","0.02","0","0.394","0.288","0.024","0","0.113","1.443"
"22",9695221,"FAME02-17-0101","SHIM_4703_B","1.295","0","0","10.913","0","0","0","4.906","0","0.027","0.062","0","0","8.666","0","0.024","0","0","0.024","0","0.158","0.079","0","0","0.048","3.714","0","46.41","0.693","0","0.094","0","0.061","45.717","0.033","0","0.028","0","18.216","0","0","0","0","0","1.544","0.095","0","0.259","0.204","0.025","0","0.033","0","0.318","0.081","0","0.558","0","0.037","0.022","0","0.379","0.287","0.022","0","0.111","1.385"
"23",9695249,"FAME02-17-0102","SHIM_4703_B","1.361","0","0","11.297","0","0","0","4.994","0","0.026","0.066","0","0","8.714","0","","","0","0.023","0","0.16","0.079","0.018","0.017","0.045","3.707","0","45.786","0.686","0","0.085","0","0.056","45.1","0.029","0","0.028","0","18.243","0","0","0","0","0","1.562","0","0","0.253","0.202","0.029","0","0.031","0","0.312","0.083","0","0.547","0","0.036","0.025","0","0.377","0.277","0.02","0","0.116","1.468"
"24",9699890,"FAME02-17-0103","SHIM_4703_B","1.326","0","0","","0","0","0","","0","0.025","0.061","0","0","","0","","0","","","","0.153","0.077","0.017","0.015","0.043","","0","","0.698","0","0.081","0","0.049","","0.032","0","0.027","0","","0","0","0","0","0","","0.098","","0.254","0.203","0.028","0","0.026","0","","0.075","0","0.549","0","0.034","0.023","0","","0.267","0.022","0","0.116","1.452"
"25",9699890,"FAME02-17-0103","SHIM_4703_B","","","","11.029","","","","4.924","","","","","","8.67","","","","","","","","","","","","3.724","","46.19","","","","","","45.492","","","","","18.275","","","","","","1.561","","","","","","","","","","","","","","","","","","","","","",""
"26",9699914,"FAME02-17-0104","SHIM_4703_B","1.327","0","0","11.244","0","0","0","4.993","0","0.026","0.06","0","0","8.465","0","0.022","0","0","","","0.153","","0","0","0.044","3.633","0","46.601","0.693","0","0.081","0.016","0.034","45.908","0.031","0","0.022","0","18.05","0","0","0","0","0","1.544","0","0","0.253","0.202","0.025","0","0.028","0","0.303","0.079","0","0.545","0","0.032","0.021","0","0.364","0.271","0.022","0","0.111","1.408"
"27",9702815,"FAME02-17-0105","SHIM_4703_B","1.336","0","0","11.141","0","0","0","4.958","0","0.027","0.063","","0","8.639","0","0.024","0","0","0.024","0","0.161","0.079","0.016","0.015","0.044","3.706","0","46.226","0.695","0","0.076","0.011","0.034","45.531","0.031","0","0.028","0","18.172","0","0","0","0","0","1.548","0","0","0.255","0.203","0.031","0","0.032","0","0.313","0.081","0","0.539","0","0.036","0.024","0","0.365","0.27","0.02","0","0.113","1.446"
"28",9702829,"FAME02-17-0106","SHIM_4703_B","1.344","0","0","11.112","0","0","0","4.878","0","0.026","0.06","0","0","8.539","0","0.023","0","0","0.023","0","0.158","0.077","0.015","0.014","0.044","3.704","0","46.325","0.695","0","0.082","0.022","0.051","45.63","","0","0.026","0","18.241","0","0","0","0","0","1.558","0","0","0.257","0.201","0.028","0","0.029","0","0.32","0.085","0","0.555","0","0.036","0.025","0","0.365","0.278","0.021","0","0.115","1.459"
"29",9707181,"FAME02-17-0107","SHIM_4703_B","1.314","0","0","11.026","0","0","0","4.908","0","0.025","0.06","0","0","8.582","0","","","0","0.025","0","0.16","0.077","0.013","0.015","0.047","3.702","0","46.449","0.701","0","0.08","0.023","0.046","45.748","","0","0.025","0","18.177","0","0","0","0","0","1.546","0","0","0.257","0.205","0.025","0","0.033","0","0.33","0.084","0","0.546","0","0.034","0.026","0","0.377","0.28","0.026","0","0.113","1.418"
"30",9707183,"FAME02-17-0108","SHIM_4703_B","1.307","0","0","11.005","0","0","0","4.899","0","0.025","0.059","0","0","8.431","0","","","0","0.024","0","0.161","0.075","0.017","0.017","0.044","3.679","0","46.704","0.695","0","0.083","0.023","0.048","46.009","","0","0.019","0","18.142","0","0","0","0","0","1.545","0","0","0.258","0.207","0.027","0","0.031","0","0.328","0.086","0","0.556","0","0.035","0.023","0","0.379","0.288","0.022","0","0.111","1.397"
"31",9716974,"FAME02-17-0109","SHIM_4703_B","1.297","0","0","10.883","0","0","0","4.864","0","0.027","0.059","0","0","8.506","0","0.024","0","0","0.024","0","0.157","0.077","0.016","0","0.045","3.72","0","46.742","0.703","0","0.085","0.023","0.032","46.039","0.03","0","0.026","0","18.252","0","0","0","0","0","1.552","0","0","0.254","0.2","0.021","0","0.027","0","0.318","0.082","0","0.538","0","0.032","0.023","0","0.373","0.279","0.022","0","0.109","1.39"
"32",9716977,"FAME02-17-0110","SHIM_4703_B","1.453","0","0","11.62","0","0","0","4.92","0","0.026","0.06","0","0","8.361","0","0.022","0","0","","","0.153","0.075","0","0","0.044","3.596","0","45.907","0.693","0","0.082","0.029","0.053","45.214","","0","0.025","0","18.251","0","0","0","0","0","1.589","0","0","0.241","0.192","0.016","0","0.03","0","0.312","0.084","0","0.529","0","0.033","0.022","0","0.378","0.274","0.021","0","0.122","1.562"
"33",9722348,"FAME02-17-0111","SHIM_4703_B","1.297","0","0","10.855","0","0","0","4.854","0","0.026","0.061","0","0","8.552","0","0.022","0","0","0.022","0","0.16","0.078","0","0","0.045","3.734","0","46.627","0.705","0","0.095","0","0.062","45.922","0.033","0","0.026","0","18.325","0","0","0","0","0","1.568","0","0","0.25","0.204","0","0","0.029","0","0.321","0.083","0","0.547","0","0.033","0.022","0","0.38","0.286","0.022","0","0.11","1.39"
"34",9728980,"FAME02-17-0112","SHIM_4703_B","1.27","0","0","10.78","0","0","0","4.847","0","0.025","0.059","0","0","8.609","0","0.022","0","0","","","0.152","0.079","0.018","0","0.044","3.675","0","46.764","0.689","0","0.075","0","0.045","46.075","0.03","","0.027","0","18.456","","0","0","0","0","1.555","0","0","0.25","0.196","0","0","0.026","0","","","0","0.547","0","0.035","0.023","0","0.341","0.275","0.02","0","0.105","1.35"
"35",9728981,"FAME02-17-0113","SHIM_4703_B","1.315","0","0","10.951","0","0","0","4.872","0","0.027","0.06","0","0","8.55","0","0.022","0","0","","","0.154","0.076","0.019","0","0.044","3.644","0","46.475","0.689","0","0.078","0","0.047","45.786","0.031","0","0.023","0","18.345","0","0","0","0","0","1.572","0.095","0","0.249","0.199","0.028","0","0.027","0","","0.079","0","0.552","","0.034","0.022","0","0.36","0.282","0.023","0","0.11","1.411"
"36",9734615,"FAME02-17-0114","SHIM_4703_B","1.306","0","0","11.028","0","0","0","4.894","0","0.028","0.061","0","0","8.561","0","0.022","0","0","","","0.157","0.077","0","0","0.046","3.643","0","46.451","0.694","0","0.079","0","0.048","45.757","0.031","0","0.025","0","18.262","0","0","0","0","0","1.549","0.094","0","0.251","0.201","0.025","0","0.035","0","0.32","0.083","0","0.545","0","0.038","0.024","0","0.388","0.283","0.023","0","0.109","1.39"
"37",9739226,"FAME02-17-0115","SHIM_4703_B","1.311","0","0","10.988","0","0","0","4.948","0","0.028","0.063","0","0","8.694","0","0.026","0","0","0.026","0","0.166","0.078","0.015","0.017","0.046","3.706","0","46.237","0.698","0","0.09","0.026","0.031","45.539","0.033","0","0.026","0","18.244","0","0","0","0","0","1.56","0","0","0.263","0.206","0.018","0","0.033","0","0.315","0.085","0","0.564","0","0.034","0.023","0","0.378","0.289","0.022","0","0.112","1.414"
"38",9739228,"FAME02-17-0116","SHIM_4703_B","1.4","0","0","11.546","0","0","0","5.007","0","0.028","0.06","0","0","8.436","0","0.022","0","0","0.022","0","0.156","0.078","0.018","0.013","0.044","","0","46.122","0.689","0","","0.032","0","45.433","","0","0.024","0","18.132","0","0","0","0","0","1.56","0","0","0.236","0.193","0.028","0","0.025","0","0.319","0.085","0","0.53","","0.032","0.023","0","0.387","0.277","0.022","0","0.114","1.477"
"39",9750006,"FAME02-17-0117","SHIM_4703_B","1.317","0","0","11.232","0","0","0","4.997","0","0.027","0.059","0","0","8.443","0","0.022","0","0","0.022","0","0.155","0.077","0","0","0.045","3.594","0","46.605","0.693","0","","0.032","0","45.912","","0","0.022","0","18.057","0","0","0","0","0","1.53","0.104","0","0.242","0.199","0.028","0","0.029","0","0.32","0.084","0","0.534","","0.035","0.02","0","0.379","0.28","0.026","0","0.107","1.385"
"40",9750010,"FAME02-17-0118","SHIM_4703_B","1.369","0","0","11.526","0","0","0","5.032","0","0.027","0.059","0","0","8.374","0","","","","0.021","0","0.15","0.076","0.015","0.012","0.044","","0","46.291","0.687","","0.079","0.033","0.046","45.598","","","0.021","0","18.004","","0","0","0","0","1.523","0.095","","0.237","0.189","0.028","0","0.028","0","0.319","0.081","0","0.52","","0.032","0.022","0","0.374","0.272","0.024","0","0.11","1.437"
"41",9762375,"FAME02-17-0119","SHIM_4307_F","1.377","0","0","11.229","0","0","0","5.007","0","0.029","0.064","0","0","8.679","0","0.027","0","0","0.027","0","","0.08","0.01","0.013","","3.719","0","45.911","0.708","0","0.081","0.021","0.03","45.203","0.03","0","0.022","0","18.1","0","0","0","0","0","1.571","0","0","0.261","0.206","0.033","0","0.031","0","0.322","0.085","0","0.547","0","0.033","0.024","0","0.377","0.279","0.022","0","0.125","1.514"
"42",9762429,"FAME02-17-0120","SHIM_4307_F","1.423","0","0","11.393","0","0","0","5.001","0","0.029","0.062","0","0","8.586","0","0.023","0","0","0.023","0","0.162","0.08","0","0.021","0.047","3.685","0","45.678","0.706","0","0.085","0","0.053","44.972","0.032","0","0.024","0","18.142","0","0","0","0","0","1.587","0.098","0","0.262","0.204","0.03","0","0.028","0","0.323","0.085","0","0.543","0","0.03","0.022","0","0.378","0.27","0.02","0","0.125","1.552"
"43",9765927,"FAME02-17-0121","SHIM_4703_B","1.301","0","0","11.039","0","0","0","4.938","0","0.026","0.059","0","0","8.512","0","","","0","0.022","0","0.158","0.077","0.012","0.015","0.044","3.613","0","46.697","0.697","0","0.084","0.023","0.029","46","0.032","0","0.022","0","18.184","0","0","0","0","0","1.535","0","0","0.244","0.201","0.011","0","0.027","0","0.315","0.08","0","0.539","0","0.032","0.022","0","0.375","0.28","0.022","0","0.11","1.388"
"44",9770672,"FAME02-17-0122","SHIM_4703_B","1.397","0","0","11.791","0","0","0","5.077","0","0.023","","0","0","","0","0.019","0","0","0.019","0","","","0","0","","","0","46.959","0.667","0","0.062","0.016","0.021","46.292","0.025","0","0.016","0","18.17","0","0","0","0","0","1.58","0","0","0.234","","0","0","","0","","","0","0.496","0","0.03","","0","","","","0","0.111","1.466"
"45",9777149,"FAME02-17-0123","SHIM_4703_B","1.338","0","0","11.119","0","0","0","4.924","0","0.026","0.061","0","0","8.57","0","0.023","0","0","0.023","0","0.158","0.08","0.019","0.014","0.044","3.669","0","46.209","0.692","0","0.092","0","0.056","45.517","0.036","0","0.024","0","18.239","","0","0","0","0","1.554","0.096","0","0.242","0.19","0.026","0","0.03","0","0.315","0.079","0","0.529","0","0.034","0.026","0","0.374","0.276","0.023","0","0.121","1.458"
"46",9777157,"FAME02-17-0124","SHIM_4703_B","1.338","0","0","11.126","0","0","0","4.947","0","0.027","0.063","0","0","8.617","0","0.022","0","0","0.022","0","0.158","0.081","0","0.017","0.047","3.656","0","46.17","0.693","0","0.082","0","0.052","45.477","0.03","0","0.024","0","18.236","0","0","0","0","0","1.554","0.102","0","0.242","0.191","0.026","0","0.029","0","0.307","0.08","0","0.531","","0.034","0.022","0","0.368","0.275","0.022","0","0.119","1.473"
"47",9783801,"FAME02-17-0125","SHIM_4703_B","1.32","0","0","10.869","0","0","0","4.862","0","0.025","0.061","0","0","8.675","0","0.024","0","0","0.024","0","0.161","0.082","0","0","0.045","3.739","0","46.182","0.709","","0.097","0","0.062","45.457","0.035","","0.029","0","18.362","","0","0","0","0","1.576","0.099","0","0.25","0.198","0.027","0","0.031","0","0.306","0.079","0","0.551","0","0.035","0.025","0","0.359","0.283","0.022","0","0.121","1.461"
"48",9784299,"FAME02-17-0126","SHIM_4703_B","1.401","0","0","11.22","0","0","0","4.875","0","0.028","0.061","0","0","8.597","0","0.023","0","0","0.023","0","0.163","","0.024","0","","3.685","0","45.807","0.694","0","0.095","0","0.061","45.113","0.034","","0.029","0","18.296","0","0","0","0","0","1.578","0.099","0","0.251","0.195","0.028","0","0.031","0","0.31","0.081","0","0.549","0","0.035","0.024","0","0.349","0.28","0.021","0","0.129","1.576"
"49",9788664,"FAME02-17-0127","SHIM_4703_B","1.253","0","0","10.606","0","0","0","4.824","0","0.026","0.06","0","0","8.563","0","0.024","0","0","0.024","0","0.157","0.075","0.017","0","0.045","3.738","0","46.84","0.702","","0.081","0","0.052","46.134","0.029","","0.025","0","18.249","","0","0","0","0","1.542","0.099","0","0.271","0.21","0.03","0","0.029","0","0.31","0.086","0","0.583","","0.036","0.028","0","0.374","0.301","0.026","0","0.111","1.352"
"50",9788928,"FAME02-17-0128","SHIM_4703_B","1.356","0","0","11.161","0","0","0","4.962","0","0.027","0.059","0","0","8.602","0","0.021","0","0","0.021","0","0.158","0.079","0","0","0.044","3.669","0","46.173","0.702","0","0.077","0","0.049","45.471","0.028","0","0.027","0","18.142","0","0","0","0","0","1.556","0.095","0","0.261","0.201","0.026","0","0.028","0","0.31","0.081","0","0.556","0","0.033","0.022","0","0.366","0.278","0.024","0","0.12","1.483"
"51",9794788,"FAME02-17-0129","SHIM_4703_B","1.219","0","0","10.394","0","0","0","4.798","0","0.026","0.062","0","0","8.678","0","0.023","0","0","0.023","0","0.161","0.082","0.014","0.016","0.047","3.793","0","46.821","0.715","0","0.07","0","0.037","46.106","0.033","0","0.025","0","18.369","0","0","0","0","0","1.563","0.096","0","0.269","0.211","0.03","0","0.034","0","0.317","0.081","0","0.594","","0.035","0.026","0","0.382","0.306","0.026","0","0.106","1.312"
"52",9801328,"FAME02-17-0130","SHIM_4703_B","1.266","0","0","10.772","0","0","0","4.845","0","0.025","0.059","0","0","8.516","0","","","0","","0","0.162","0.076","0.014","0.017","0.043","3.645","0","46.77","0.701","0","0.1","0","0.062","46.069","0.038","","0.022","0","18.278","0","0","0","0","0","1.555","0.095","0","0.262","0.199","0.029","0","0.026","0","0.324","0.079","0","0.563","0","0.037","0.021","0","0.363","0.304","0.022","0","0.106","1.348"
"53",9810491,"FAME02-17-0131","SHIM_4703_B","1.418","0","0","11.648","0","0","0","5.05","0","0.026","0.06","0","0","8.481","0","","","","","0","","0.077","0","0.035","0.044","3.619","0","45.811","0.691","0","0.087","0","0.062","45.12","0.025","0","0.025","0","17.959","0","0","0","0","0","1.536","0.093","0","0.242","0.189","0.024","0","0.027","0","0.304","0.082","0","0.5","0","0.031","0.023","0","0.353","0.251","0.021","0","0.128","1.571"
"54",9810515,"FAME02-17-0132","SHIM_4703_B","1.428","0","0","11.69","0","0","0","5.069","0","0.027","0.062","0","0","8.526","0","0.022","0","0","0.022","0","0.161","0.078","0.013","0.014","0.048","3.644","0","45.767","0.686","0","0.073","0","0.052","45.081","","0","0.02","0","17.99","0","0","0","0","0","1.545","0.096","0","0.238","0.196","0","0","0.03","0","0.309","0.081","0","0.518","0","0.031","0.021","0","0.35","0.258","","0","0.127","1.57"
"55",9812486,"FAME02-17-0133","SHIM_4703_B","1.377","0","0","11.846","0","0","0","","0","0.03","0.065","0","0","8.609","0","0.027","0","0","0.027","0","0.168","0.078","0","0","0.047","3.597","0","45.391","0.681","0","0.077","0","0.05","44.71","0.027","0","0","0","18.315","0","0","0","0","0","1.581","0","0","0.244","0.194","0.026","0","0.031","0","0.315","0.085","0","0.51","0","0.031","0.026","0","0.359","0.252","0.021","0","0.115","1.448"
"56",9821617,"FAME02-17-0136","SHIM_4703_B","1.358","0","0","11.592","0","0","0","","0","0.027","0.063","","","8.742","0","","","","0.024","0","0.16","0.08","0.014","0.013","0.045","3.615","0","45.733","0.686","","0.077","0","0.048","45.041","0.029","","0.025","0","17.988","","0","0","0","0","1.523","0.093","0","0.253","0.193","0.029","0","0.027","0","0.309","0.09","0","0.526","0","0.033","0.024","0","0.345","0.267","0.019","0","0.108","1.41"
"57",9821619,"FAME02-17-0137","SHIM_4703_B","","0","0","","0","0","0","","0","0.029","0.064","0","0","8.536","0","0.024","0","0","0.024","0","0.165","0.08","0","0","0.045","","0","","0.678","0","0.079","0","0.051","","0.028","0","0.025","0","17.977","0","0","0","0","0","1.573","0.098","0","0.239","0.188","0.025","0","0.027","0","0.32","0.087","0","0.511","0","0.03","0.022","0","0.357","0.247","0.019","0","",""
"58",9828536,"FAME02-17-0138","SHIM_4703_B","1.397","0","0","11.522","0","0","0","5.024","0","0.026","0.062","0","0","8.551","0","0.023","0","0","0.023","0","0.159","0.079","0","0.014","0.045","3.615","0","46.004","0.676","0","0.072","0","0.046","45.328","0.026","0","0.022","0","18.012","0","0","0","0","0","1.546","0.093","0","0.251","0.194","0.033","0","0.029","0","0.311","0.079","0","0.517","0","0.03","0.022","0","0.352","0.255","0.021","0","0.124","1.519"
"59",9828537,"FAME02-17-0139","SHIM_4703_B","1.404","0","0","11.539","0","0","0","5.015","0","0.028","0.06","0","0","8.585","0","0.026","0","0","0.026","0","0.161","0.078","0","0.021","0.046","3.633","0","45.822","0.693","0","0.079","0","0.05","45.129","0.029","0","0.022","","18.009","0","0","0","0","0","1.537","0.093","0","0.254","0.194","0.029","0","0.034","0","0.311","0.084","0","0.516","0","0.031","0.025","0","0.351","0.259","0.022","0","0.125","1.534"
"60",9830760,"FAME02-17-0140","SHIM_4703_B","","0","0","","0","0","0","","0","0.028","0.061","0","0","8.51","0","0.024","0","0","0.024","0","0.161","0.077","0","0.014","0.043","3.577","0","45.326","0.673","0","0.072","0","0.044","44.653","0.028","0","0.022","","","0","0","0","0","0","1.543","0","0","0.25","0.194","0.027","0","0.028","0","0.316","0.086","0","0.513","0","0.026","0.023","0","0.363","0.255","0.019","0","",""
"61",9834896,"FAME02-17-0141","SHIM_4703_B","1.316","0","0","10.923","0","0","0","4.936","0","0.028","0.062","0","0","8.656","0","0.024","0","0","0.024","0","0.162","0.08","0","0.021","0.045","3.724","0","46.252","0.697","0","0.079","0.033","0.046","45.555","","0","0.023","0","18.211","0","0","0","0","0","1.56","0.097","0","0.267","0.207","0.032","0","0.027","0","0.313","0.085","0","0.558","0","0.035","0.026","0","0.371","0.286","0.025","0","0.116","1.454"
"62",9834899,"FAME02-17-0142","SHIM_4703_B","1.368","0","0","11.23","0","0","0","4.967","0","0.027","0.058","0","0","8.506","0","","","0","","","0.164","0.078","0","0.022","0.042","3.652","0","46.165","0.694","0","0.071","0.033","0.038","45.471","","","0.016","","18.049","0","0","0","0","0","1.548","0.096","0","0.261","0.201","0.03","0","0.028","0","0.315","0.086","0","0.546","","0.036","0.024","0","0.367","0.277","0.023","0","0.119","1.501"
"63",9837639,"FAME02-17-0143","SHIM_4703_B","1.37","0","0","11.084","0","0","0","4.894","0","0.025","0.061","0","0","8.535","0","","","","0.024","0","0.162","0.078","0.014","0.014","0.045","3.685","0","46.107","0.705","","0.075","0.03","0.045","45.392","","","0.02","0","18.178","","0","0","0","0","1.575","0.098","0","0.261","0.204","0.029","0","0.033","0","0.337","0.091","0","0.55","0","0.038","0.023","0","0.383","0.285","0.024","0","0.123","1.524"
"64",9841741,"FAME02-17-0144","SHIM_4703_B","1.361","0","0","10.757","0","0","0","4.789","0","0.026","0.06","0","0","8.506","0","0.024","0","0","","","0.16","0.078","0.014","0.02","0.045","3.765","0","46.303","0.702","0","","0","0","45.601","0.034","","0","","18.219","","0","0","0","0","1.564","0.1","0","0.295","0.206","0.033","0","0.033","0","0.331","0.089","0","0.58","0","","0.025","0","0.383","0.328","0.025","","","1.619"
"65",9841752,"FAME02-17-0145","SHIM_4703_B","1.249","0","0","10.461","0","0","0","4.799","0","0.026","0.061","0","0","8.638","0","0.023","0","0","","","0.16","0.08","0","0.021","0.045","3.813","0","46.696","0.711","0","0.079","0.036","0.043","45.985","","","0.026","0","18.308","","0","0","0","0","1.559","0.103","0","0.27","0.209","0.031","0","0.034","0","0.325","0.086","0","0.58","","0.04","0.027","0","0.374","0.304","0.024","","0.111","1.381"
"66",9844792,"FAME02-17-0146","SHIM_4703_B","","0","0","","0","0","0","","0","0.027","0.059","0","0","","0","","","","","","","0.075","0.015","0.014","0.044","","0","","","","0.063","0.036","0.027","","","","0.019","0","","","0","0","0","0","","","0","","","0.03","0","0.028","0","","0.078","0","","","0.037","0.022","0","","","0.022","0","",""
"67",9844792,"FAME02-17-0146","SHIM_4703_B","1.294","","","10.851","","","","4.895","","","","","","8.58","","","","","","","0.153","","","","","3.735","","46.536","0.697","","","","","45.828","","","","","18.218","","","","","","1.55","0.098","","0.266","0.204","","","","","0.293","","","0.565","","","","","0.342","0.281","","","0.113","1.413"
"68",9844800,"FAME02-17-0147","SHIM_4703_B","1.257","0","0","10.481","0","0","0","4.784","0","0.027","0.061","0","0","8.576","0","","","0","0.026","0","0.155","0.076","0.014","0.023","0.043","3.795","0","46.682","0.709","0","0.082","0","0.045","45.973","0.037","0","0","0","18.403","0","0","0","0","0","1.573","0.093","0","","0.207","0.031","0","0.028","0","0.305","0.081","0","0.577","","","0.024","0","0.352","0.316","0.026","","0.115","1.392"
"69",9853675,"FAME02-17-0148","SHIM_4703_B","1.224","0","0","10.372","0","0","0","4.779","0","0.026","0.063","0","0","8.635","0","0.022","0","0","0.022","0","0.156","0.079","0.014","0.022","0.048","3.816","0","46.788","0.71","0","0.072","0","0.04","46.078","0.032","0","0","0","18.386","0","0","0","0","0","1.558","0.097","0","0.294","0.21","0.032","0","0.035","0","0.329","0.089","0","0.59","0","0.044","0.027","0","0.383","0.329","0.024","0","0.108","1.35"
